province,district,time_to_clinic_hospital
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,60+ minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,45-59 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,0-14 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,15-29 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Chitral,30-44 minutes
Khyber Pakhtunkhwa,Upper Dir,30-44 minutes
Khyber Pakhtunkhwa,Upper Dir,30-44 minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,15-29 minutes
Khyber Pakhtunkhwa,Upper Dir,15-29 minutes
Khyber Pakhtunkhwa,Upper Dir,45-59 minutes
Khyber Pakhtunkhwa,Upper Dir,15-29 minutes
Khyber Pakhtunkhwa,Upper Dir,30-44 minutes
Khyber Pakhtunkhwa,Upper Dir,45-59 minutes
Khyber Pakhtunkhwa,Upper Dir,15-29 minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,15-29 minutes
Khyber Pakhtunkhwa,Upper Dir,15-29 minutes
Khyber Pakhtunkhwa,Upper Dir,15-29 minutes
Khyber Pakhtunkhwa,Upper Dir,45-59 minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,45-59 minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,15-29 minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,60+ minutes
Khyber Pakhtunkhwa,Upper Dir,45-59 minutes
